timestamp,angle(Radians),position(inches),speed(percentage)
this is a test with speed 4
timestamp,angle(Radians),position(inches),speed(percentage)
16:05:38.576364,151.875000,-8.439453,4.000000
16:05:38.681444,163.828125,-7.929688,4.000000
16:05:38.786566,181.757812,-7.250000,4.000000
16:05:38.891516,169.804688,-6.570312,4.000000
16:05:38.995733,212.343750,-6.003906,4.000000
16:05:39.100758,226.406250,-5.437500,4.000000
16:05:39.205412,240.820312,-4.814453,4.000000
16:05:39.310307,253.828125,-4.304688,4.000000
16:05:39.415478,267.890625,-3.738281,4.000000
16:05:39.520592,286.875000,-3.001953,4.000000
16:05:39.625938,169.804688,-2.265625,4.000000
16:05:39.731885,325.898438,-1.416016,4.000000
16:05:39.836757,349.453125,-0.566406,4.000000
16:05:39.941132,3.867188,0.169922,4.000000
16:05:40.045609,18.984375,0.679688,4.000000
16:05:40.150155,33.750000,1.302734,4.000000
16:05:40.254815,46.054688,1.812500,4.000000
16:05:40.359374,59.062500,2.322266,4.000000
16:05:40.464077,72.070312,2.888672,4.000000
16:05:40.569240,85.078125,3.341797,4.000000
16:05:40.673757,100.898438,3.964844,4.000000
16:05:40.778099,120.234375,4.814453,4.000000
16:05:40.882811,135.000000,5.380859,4.000000
16:05:40.987922,150.117188,5.947266,4.000000
16:05:41.093497,164.531250,6.570312,4.000000
16:05:41.198542,310.078125,6.117188,4.000000
16:05:41.303724,194.765625,7.816406,4.000000
this is a test with speed 5
timestamp,angle(Radians),position(inches),speed(percentage)
16:05:49.596340,151.523438,-8.439453,5.000000
16:05:49.702042,164.882812,-7.986328,5.000000
16:05:49.806746,182.109375,-7.250000,5.000000
16:05:49.911113,200.039062,-6.457031,5.000000
16:05:50.016017,217.265625,-5.833984,5.000000
16:05:50.120927,233.789062,-5.154297,5.000000
16:05:50.226005,246.796875,-4.531250,5.000000
16:05:50.331501,264.023438,-3.908203,5.000000
16:05:50.436136,280.195312,-3.228516,5.000000
16:05:50.540434,300.234375,-2.435547,5.000000
16:05:50.644997,310.078125,-1.642578,5.000000
16:05:50.749780,338.554688,-0.962891,5.000000
16:05:50.854710,359.648438,-0.113281,5.000000
16:05:50.959321,14.765625,0.566406,5.000000
16:05:51.064479,28.476562,1.076172,5.000000
16:05:51.169904,41.835938,1.642578,5.000000
16:05:51.274321,53.789062,2.095703,5.000000
